Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings
-0.6454903990300821,-0.50433716087931,-1.1985628535154278,-0.6431352709666678,-0.6106235272242426,-0.7310301886555176,-0.6435617455960592,15
-1.5689866938502888,-1.5754526158140385,-1.3324130002719432,-1.255046944518664,-1.216617878541891,-1.2276209749938491,-1.251041217552566,7
0.014149811555779788,0.08477633933479065,-0.12776167946330522,-0.2974104779372902,-0.45548897328692456,-0.3479458677659479,-0.18795214162867896,9
-0.7774184411472546,-0.50433716087931,-0.39546197297633606,-0.6388932489663073,-0.6542551205191134,-0.608064851086026,-0.6055942785987775,10
-1.7448907500065183,-1.6825641613075115,-1.6001132937849736,-1.298527670022359,-1.265097426647303,-1.31275082408042,-1.3649436185444113,7
-0.909346483264427,-1.2005622065868837,-1.1985628535154278,-0.9877995584959552,-1.0154277539044319,-0.9533136834926754,-0.8713665475797493,8
0.014149811555779788,0.031220566588054166,0.27378876080624026,-0.08424887241917725,-0.5500240920924778,-0.3479458677659479,0.7232670663060816,20
0.14607785367295226,0.13833211208152713,-0.39546197297633606,-0.10439847692088934,-0.2736906678916301,-0.27227489080010686,0.191722528344138,16
-0.4695863428738526,-0.45078138813257357,-0.39546197297633606,-0.652679820467479,-0.6494071657085722,-0.6222531592671212,-0.529659344604214,9
0.19005386771200974,0.2989994303217366,0.27378876080624026,0.16390941460190964,-0.17430759427553566,-0.2580865826190117,0.6473321323115182,19
-0.029826202483277702,-0.3436698426391006,0.006088467293210197,-0.4469417534499964,-0.7584861489457488,-0.2911926350415671,-0.18795214162867896,14
-0.8653704692253695,-0.6650044791195195,-0.7970124132458819,-0.8722044589861326,-0.8869569514250903,-0.92020763107012,-0.7574641465879041,10
-0.33765830075668013,-0.3436698426391006,-0.12776167946330522,-0.5848074684617115,-0.6445592108980309,-0.7877834213798983,-0.3398220096178056,11
0.058125825594837276,-0.0758909789054182,0.13993861404972488,-0.2815028954359386,-0.3779216963182655,-0.0689091402044091,-0.22591960862596067,10
-0.5135623569129101,-0.611448706372783,-1.0647127067589124,-0.7247941944736067,-0.8869569514250903,-0.9249370671304851,-0.3777894766150873,10
-0.24970627267856516,-0.1294467516521547,-0.26161182621982065,-0.3239231154395432,-0.44821704107111277,-0.4283462807921537,0.03985266035501114,12
-1.5250106798112313,-1.414785297573829,-1.4662631470284582,-1.1171812295069492,-1.2384336751893266,-1.31275082408042,-0.9093340145770309,7
